loan_id,customer_id,loan_amount,interest_rate,loan_term
34,41,30000.50,4.5,48
35,62,25000.75,6.0,60
36,27,17500.00,3.5,24
37,98,22500.25,5.0,36
38,15,27500.50,4.0,48
39,74,32500.75,6.5,60
40,19,37500.00,3.0,24
41,51,10000.25,5.5,36
42,36,20000.50,4.5,48
43,83,15000.75,6.0,60
44,13,30000.00,3.5,24
45,68,25000.25,5.0,36
46,24,17500.50,4.0,48
47,95,22500.75,6.5,60
48,6,27500.00,3.0,24
49,57,32500.25,5.5,36
50,31,37500.50,4.5,48
51,72,10000.75,6.0,60
52,10,20000.00,3.5,24
53,86,15000.25,5.0,36
54,42,30000.50,4.0,48
55,63,25000.75,6.5,60
56,28,17500.00,3.0,24
57,97,22500.25,5.5,36
58,16,27500.50,4.5,48
59,75,32500.75,6.0,60
60,20,37500.00,3.5,24
61,52,10000.25,5.0,36
62,35,20000.50,4.0,48
63,84,15000.75,6.5,60
64,12,30000.00,3.0,24
65,69,25000.25,5.5,36
66,26,17500.50,4.5,48
