payment_id,loan_id,payment_date,payment_amount
34,75,2024-02-03,1750.00
35,86,2024-02-04,1800.00
36,97,2024-02-05,1850.00
37,8,2024-02-06,1900.00
38,19,2024-02-07,1950.00
39,30,2024-02-08,2000.00
40,41,2024-02-09,2050.00
41,52,2024-02-10,2100.00
42,63,2024-02-11,2150.00
43,74,2024-02-12,2200.00
44,85,2024-02-13,2250.00
45,96,2024-02-14,2300.00
46,7,2024-02-15,2350.00
47,18,2024-02-16,2400.00
48,29,2024-02-17,2450.00
49,40,2024-02-18,2500.00
50,51,2024-02-19,2550.00
51,62,2024-02-20,2600.00
52,73,2024-02-21,2650.00
53,84,2024-02-22,2700.00
54,95,2024-02-23,2750.00
55,6,2024-02-24,2800.00
56,17,2024-02-25,2850.00
57,28,2024-02-26,2900.00
58,39,2024-02-27,2950.00
59,50,2024-02-28,3000.00
60,61,2024-02-29,3050.00
61,72,2024-03-01,3100.00
62,83,2024-03-02,3150.00
63,94,2024-03-03,3200.00
64,5,2024-03-04,3250.00
65,16,2024-03-05,3300.00
66,27,2024-03-06,3350.00
