account_id,customer_id,account_type,balance
34,41,Checking,3500.50
35,62,Savings,175.75
36,27,Checking,3700.00
37,98,Savings,200.25
38,15,Checking,3900.50
39,74,Savings,225.75
40,19,Checking,4100.00
41,51,Savings,250.25
42,36,Checking,4300.50
43,83,Savings,275.75
44,13,Checking,4500.00
45,68,Savings,300.25
46,24,Checking,4700.50
47,95,Savings,325.75
48,6,Checking,4900.00
49,57,Savings,350.25
50,31,Checking,5100.50
51,72,Savings,375.75
52,10,Checking,5300.00
53,86,Savings,400.25
54,42,Checking,5500.50
55,63,Savings,425.75
56,28,Checking,5700.00
57,97,Savings,450.25
58,16,Checking,5900.50
59,75,Savings,475.75
60,20,Checking,6100.00
61,52,Savings,500.25
62,35,Checking,6300.50
63,84,Savings,525.75
64,12,Checking,6500.00
65,69,Savings,550.25
66,26,Checking,6700.50
