account_id,customer_id,account_type,balance
67,96,Savings,575.75
68,8,Checking,6900.00
69,59,Savings,600.25
70,33,Checking,7100.50
71,73,Savings,625.75
72,17,Checking,7300.00
73,87,Savings,650.25
74,43,Checking,7500.50
75,61,Savings,675.75
76,22,Checking,7700.00
77,91,Savings,700.25
78,4,Checking,7900.50
79,55,Savings,725.75
80,30,Checking,8100.00
81,70,Savings,750.25
82,2,Checking,8300.50
83,82,Savings,775.75
84,40,Checking,8500.00
85,65,Savings,800.25
86,21,Checking,8700.50
87,93,Savings,825.75
88,1,Checking,8900.00
89,54,Savings,850.25
90,38,Checking,9100.50
91,77,Savings,875.75
92,44,Checking,9300.00
93,79,Savings,900.25
94,39,Checking,9500.50
95,60,Savings,925.75
96,48,Checking,9700.00
97,90,Savings,950.25
98,49,Checking,9900.50
99,80,Savings,975.75
100,50,Checking,10100.00
