transaction_id,account_id,transaction_date,transaction_amount,transaction_type
67,96,2024-03-07,225.50,Deposit
68,8,2024-03-08,275.75,Withdrawal
69,59,2024-03-09,325.00,Deposit
70,33,2024-03-10,375.25,Withdrawal
71,73,2024-03-11,100.50,Deposit
72,17,2024-03-12,200.75,Withdrawal
73,87,2024-03-13,150.00,Deposit
74,43,2024-03-14,300.25,Withdrawal
75,61,2024-03-15,250.00,Deposit
76,22,2024-03-16,175.00,Withdrawal
77,91,2024-03-17,225.50,Deposit
78,4,2024-03-18,275.75,Withdrawal
79,55,2024-03-19,325.00,Deposit
80,30,2024-03-20,375.25,Withdrawal
81,70,2024-03-21,100.50,Deposit
82,2,2024-03-22,200.75,Withdrawal
83,82,2024-03-23,150.00,Deposit
84,40,2024-03-24,300.25,Withdrawal
85,65,2024-03-25,250.00,Deposit
86,21,2024-03-26,175.00,Withdrawal
87,93,2024-03-27,225.50,Deposit
88,1,2024-03-28,275.75,Withdrawal
89,54,2024-03-29,325.00,Deposit
90,38,2024-03-30,375.25,Withdrawal
91,77,2024-03-31,100.50,Deposit
92,44,2024-04-01,200.75,Withdrawal
93,79,2024-04-02,150.00,Deposit
94,39,2024-04-03,300.25,Withdrawal
95,60,2024-04-04,250.00,Deposit
96,48,2024-04-05,175.00,Withdrawal
97,90,2024-04-06,225.50,Deposit
98,49,2024-04-07,275.75,Withdrawal
99,80,2024-04-08,325.00,Deposit
100,50,2024-04-09,375.25,Withdrawal
