transaction_id,account_id,transaction_date,transaction_amount,transaction_type
1,45,2024-01-01,100.50,Deposit
2,12,2024-01-02,200.75,Withdrawal
3,78,2024-01-03,150.00,Deposit
4,34,2024-01-04,300.25,Withdrawal
5,56,2024-01-05,250.00,Deposit
6,23,2024-01-06,175.00,Withdrawal
7,89,2024-01-07,225.50,Deposit
8,67,2024-01-08,275.75,Withdrawal
9,14,2024-01-09,325.00,Deposit
10,92,2024-01-10,375.25,Withdrawal
11,3,2024-01-11,100.50,Deposit
12,81,2024-01-12,200.75,Withdrawal
13,29,2024-01-13,150.00,Deposit
14,64,2024-01-14,300.25,Withdrawal
15,47,2024-01-15,250.00,Deposit
16,18,2024-01-16,175.00,Withdrawal
17,99,2024-01-17,225.50,Deposit
18,5,2024-01-18,275.75,Withdrawal
19,76,2024-01-19,325.00,Deposit
20,21,2024-01-20,375.25,Withdrawal
21,53,2024-01-21,100.50,Deposit
22,37,2024-01-22,200.75,Withdrawal
23,88,2024-01-23,150.00,Deposit
24,11,2024-01-24,300.25,Withdrawal
25,66,2024-01-25,250.00,Deposit
26,25,2024-01-26,175.00,Withdrawal
27,94,2024-01-27,225.50,Deposit
28,7,2024-01-28,275.75,Withdrawal
29,58,2024-01-29,325.00,Deposit
30,32,2024-01-30,375.25,Withdrawal
31,71,2024-01-31,100.50,Deposit
32,9,2024-02-01,200.75,Withdrawal
33,85,2024-02-02,150.00,Deposit
