payment_id,loan_id,payment_date,payment_amount
1,45,2024-01-01,100.00
2,23,2024-01-02,150.00
3,67,2024-01-03,200.00
4,89,2024-01-04,250.00
5,12,2024-01-05,300.00
6,34,2024-01-06,350.00
7,56,2024-01-07,400.00
8,78,2024-01-08,450.00
9,90,2024-01-09,500.00
10,11,2024-01-10,550.00
11,22,2024-01-11,600.00
12,33,2024-01-12,650.00
13,44,2024-01-13,700.00
14,55,2024-01-14,750.00
15,66,2024-01-15,800.00
16,77,2024-01-16,850.00
17,88,2024-01-17,900.00
18,99,2024-01-18,950.00
19,10,2024-01-19,1000.00
20,21,2024-01-20,1050.00
21,32,2024-01-21,1100.00
22,43,2024-01-22,1150.00
23,54,2024-01-23,1200.00
24,65,2024-01-24,1250.00
25,76,2024-01-25,1300.00
26,87,2024-01-26,1350.00
27,98,2024-01-27,1400.00
28,9,2024-01-28,1450.00
29,20,2024-01-29,1500.00
30,31,2024-01-30,1550.00
31,42,2024-01-31,1600.00
32,53,2024-02-01,1650.00
33,64,2024-02-02,1700.00
