loan_id,customer_id,loan_amount,interest_rate,loan_term
1,45,10000.50,5.5,36
2,12,20000.75,4.5,48
3,78,15000.00,6.0,60
4,34,30000.25,3.5,24
5,56,25000.00,5.0,36
6,23,17500.50,4.0,48
7,89,22500.75,6.5,60
8,67,27500.00,3.0,24
9,14,32500.25,5.5,36
10,92,37500.50,4.5,48
11,3,10000.75,6.0,60
12,81,20000.00,3.5,24
13,29,15000.25,5.0,36
14,64,30000.50,4.0,48
15,47,25000.75,6.5,60
16,18,17500.00,3.0,24
17,99,22500.25,5.5,36
18,5,27500.50,4.5,48
19,76,32500.75,6.0,60
20,21,37500.00,3.5,24
21,53,10000.25,5.0,36
22,37,20000.50,4.0,48
23,88,15000.75,6.5,60
24,11,30000.00,3.0,24
25,66,25000.25,5.5,36
26,25,17500.50,4.5,48
27,94,22500.75,6.0,60
28,7,27500.00,3.5,24
29,58,32500.25,5.0,36
30,32,37500.50,4.0,48
31,71,10000.75,6.5,60
32,9,20000.00,3.0,24
33,85,15000.25,5.5,36
